gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	information	bridging	average_neighbors	class
ALG12	32.0	2.0	0.0	0.0	1.0	24.0	0.0	0.0	5.0	0.0	0.00015824454056335058	0.26593378196591444	1.469965108081909e-06	9.382425101582858e-05	3	0.0	-0.7134	8.980998369058237e-05	2.433950385488006e-06	77.0	
ZNF232	45.0	0.0	0.0	0.0	0.0	39.0	5.0	1.0	0.0	0.0	0.0005802299820656187	0.3081720580829084	4.603583888221847e-06	0.00019842203254805132	10	0.10909090909090907	-0.5598	0.000163843828810088	1.145684922899266e-06	106.0	
EPPK1	286.0	10.0	0.0	1.0	1.0	258.0	15.0	0.0	0.0	1.0	0.0003692372613144847	0.3121157404034489	1.0815131985785495e-06	0.00023815292716036678	7	0.14285714285714285	-0.8012	0.00014134977820491753	1.1848740793029205e-06	201.28571428571428	
AKT2	49.0	1.0	0.0	0.0	0.0	46.0	2.0	0.0	0.0	0.0	0.013450785947884798	0.3958625595211055	0.0012522427325082602	0.009293734351354051	66	0.11261386444341515	0.3074	0.0002276282419576629	8.575544312738066e-07	189.09019607843135	driver
LRFN3	54.0	3.0	4.0	0.0	0.0	44.0	3.0	0.0	0.0	0.0	0.00015824454056335058	0.26028340775496434	2.648803677533809e-06	5.235143439594634e-06	3	0.0	-0.5188	8.563643196666005e-05	2.1190429420270475e-06	17.333333333333332	
DCAF8	70.0	1.0	0.0	1.0	0.0	55.0	11.0	1.0	1.0	0.0	0.0015296972254457222	0.3248666532822299	3.3749973351318326e-05	0.0015655854143572854	26	0.3842364532019704	-0.612	0.00020072375737869208	2.535977605799623e-06	201.24137931034485	
EPS8L1	63.0	2.0	1.0	0.0	0.0	54.0	4.0	1.0	1.0	0.0	0.0003692372613144847	0.3112318073300062	2.5199808239626474e-06	0.00021126989468156883	7	0.09523809523809523	-0.9299	0.00014212672191695182	9.828649988419084e-06	248.0	
ITIH4	67.0	3.0	0.0	1.0	0.0	55.0	4.0	0.0	4.0	0.0	0.00021099272075113408	0.307971216022114	1.5618783687101153e-06	0.00019967578600644603	3	0.16666666666666666	-0.5823	0.00010399002987324621	9.350164468758595e-07	298.0	
CNIH2	15.0	0.0	0.0	1.0	0.0	12.0	2.0	0.0	0.0	0.0	0.002057179027323557	0.3242870119848557	1.507154109534528e-05	0.000627985376201837	34	0.5924426450742241	-0.3909	0.00020778668285976803	7.993465292545289e-07	124.10256410256409	
QSOX2	64.0	1.0	2.0	0.0	0.0	60.0	0.0	0.0	1.0	0.0	5.274818018778352e-05	0.2505473185659805	0.0	5.606382743409531e-06	1	0.0	-0.9412	4.19212123511988e-05	0.0	33.0	
H1FX	13.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	0.0	0.00042198544150226817	0.28667255148285103	5.015893657687619e-07	0.00019332391628943608	8	0.07142857142857142	-0.6749	0.0001481536316210327	3.0155516990324714e-07	67.875	
NLRC4	134.0	6.0	0.0	0.0	0.0	117.0	9.0	0.0	2.0	0.0	0.0007912227028167528	0.3129062600081656	5.093146013098614e-06	0.0003688514352992341	13	0.26666666666666666	-0.406	0.00017739779187160058	6.184091321112678e-07	116.06666666666666	
OR8I2	114.0	3.0	0.0	0.0	0.0	105.0	6.0	0.0	0.0	0.0	0.0007912227028167528	0.31450460648863193	2.4878909700886325e-07	0.0005134481074920149	15	0.37142857142857133	-0.95	0.00017902133423172107	6.459601068066787e-07	636.7333333333332	
MDN1	484.0	17.0	3.0	0.0	0.0	420.0	36.0	0.0	8.0	0.0	0.0002637409009389176	0.2872126869654967	3.242707093316609e-07	9.359341478608236e-05	5	0.4	-0.8415	0.00012227392031156518	7.359538604432309e-07	93.0	
MXRA7	8.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	5.274818018778352e-05	0.2569818276990139	0.0	7.051013662550893e-06	1	0.0	-0.9259	4.1636185925322134e-05	0.0	26.0	
AVEN	27.0	1.0	0.0	0.0	0.0	21.0	2.0	0.0	3.0	0.0	0.0004747336216900517	0.3027717660511495	9.033597089180441e-07	0.0002155182737234545	9	0.4166666666666667	-0.7145	0.00015449126497679542	5.300164299194285e-07	97.0	
CTDSP1	31.0	1.0	1.0	1.0	0.0	26.0	1.0	0.0	1.0	0.0	0.002426416288638042	0.3413214639948945	0.00011747460023956968	0.002153924434880012	32	0.060869565217391314	-0.2109	0.00021085804557506384	2.1726728531764785e-06	139.1304347826087	
APLN	9.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0007912227028167528	0.3222689607449451	1.5577405757574225e-05	0.00045789625174423565	15	0.3619047619047619	-0.8374	0.0001789361065555515	1.0461562616169673e-05	340.53333333333336	
BMT2	65.0	1.0	0.0	0.0	0.0	53.0	10.0	0.0	1.0	0.0	0.002584660829201393	0.30976289071915025	7.0795813992892725e-09	0.0006847964748406131	48	0.995748299319728	-0.2069	0.00021168313293749781	2.1042190254925326e-10	85.14285714285714	
DROSHA	142.0	5.0	1.0	0.0	1.0	119.0	11.0	0.0	5.0	0.0	0.0008439708830045362	0.3363831391403272	5.053158301996421e-06	0.0017002235191019178	15	0.275	-0.7551	0.00018123285805855702	1.4361559656434415e-06	326.8125	driver
EMX1	16.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0008439708830045362	0.30883669947345377	2.1616336850125267e-06	0.0007159667380148772	15	0.08333333333333333	-0.5017	0.0001807928302396764	3.454627020228262e-07	100.6875	
SLC9A4	171.0	15.0	3.0	0.0	0.0	135.0	12.0	0.0	6.0	0.0	0.00010549636037556704	0.2813724932950261	1.3026802016494866e-07	3.523166055009685e-05	2	0.0	-0.8552	7.03014507348103e-05	7.872413326725035e-07	92.5	
KRTAP19-1	20.0	0.0	0.0	1.0	0.0	18.0	1.0	0.0	0.0	0.0	0.002426416288638042	0.32477734286208365	2.673803301807142e-05	0.0010026358166607698	35	0.14492753623188406	-0.2167	0.0002109959161623093	5.458105026545581e-07	107.82608695652172	
SIRT1	43.0	2.0	1.0	0.0	0.0	34.0	3.0	0.0	3.0	0.0	0.008545205190420931	0.3783662220424218	0.00044937060553173087	0.0076203018869791285	61	0.12322674641515223	0.1409	0.00022540568495517442	8.497058849683255e-07	191.6543209876544	
WIZ	97.0	3.0	0.0	0.0	0.0	87.0	7.0	0.0	0.0	0.0	0.0009494672433801034	0.31983690679323284	5.646594397520663e-06	0.0006007561028119867	18	0.0457516339869281	-0.6672	0.0001857875339966664	1.4191645899476783e-06	142.61111111111111	
RSPO3	31.0	0.0	0.0	0.0	0.0	25.0	6.0	0.0	0.0	0.0	0.0004747336216900517	0.307200412068475	1.249505688790377e-08	0.0010876872697023073	9	0.8888888888888888	-0.6431	0.00015381461250060105	4.993881623184655e-09	435.4444444444445	driver
CYTH4	57.0	1.0	0.0	1.0	0.0	49.0	3.0	0.0	2.0	1.0	0.0013714526848823715	0.3282003256398046	1.2034241673817606e-05	0.0006072342265632863	23	0.1076923076923077	-0.5438	0.00019771196903890136	1.0875180810381671e-06	150.9230769230769	
BCL2L10	8.0	1.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.002953898090515877	0.3443998497662938	6.54934093956391e-05	0.0016518877158996335	38	0.2707792207792208	-0.1758	0.0002143641786264246	8.762723187373115e-07	147.23214285714286	
TIMM29	9.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0002637409009389176	0.2681673148507969	1.4408367334435922e-06	1.5749625992638674e-05	5	0.4	-0.4589	0.00011640366798675459	7.015771975068302e-07	28.4	
FAM124B	59.0	1.0	1.0	1.0	0.0	50.0	6.0	0.0	0.0	0.0	0.0035868762527692796	0.3405957322841463	0.00010454870000699478	0.001264631959692406	42	0.06584723441615452	-0.1407	0.0002173049582355164	1.0537302156090677e-06	153.10294117647058	
CD151	16.0	1.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	0.0	0.001107711783943454	0.30413092877947684	4.918553259167122e-05	0.00017802766852614282	16	0.2333333333333333	-0.266	0.00018932205574088948	1.8277635696383973e-06	76.66666666666667	
RASGEF1B	47.0	1.0	0.0	0.0	0.0	40.0	3.0	0.0	3.0	0.0	0.00021099272075113408	0.2833761803003353	2.9248002455785687e-07	4.130052354583045e-05	4	0.16666666666666666	-0.8662	0.00010936374195625486	9.666433766404115e-07	95.75	
MAG	98.0	3.0	1.0	0.0	0.0	88.0	5.0	0.0	1.0	0.0	0.0012659563245068044	0.3239535434731828	1.2829294165120965e-05	0.0004385733934502226	21	0.15217391304347827	-0.4753	0.00019522386023544108	1.2528105831567742e-06	137.5	
CCL16	16.0	0.0	0.0	0.0	0.0	13.0	1.0	1.0	0.0	1.0	0.0022681717480746914	0.33905006914032765	2.4011257794716863e-05	0.0013164959239081605	41	0.5060908084163898	-0.5401	0.00020990433756050232	1.639724374002684e-06	243.06976744186048	
CBX7	26.0	0.0	2.0	0.0	0.0	23.0	1.0	0.0	0.0	0.0	0.0010549636037556704	0.3177294272171129	1.6681189902835273e-05	0.0014146078182243071	19	0.37894736842105264	-0.67	0.000189523546034912	3.502153077039505e-06	188.45	
CCDC97	41.0	1.0	0.0	0.0	0.0	36.0	4.0	0.0	0.0	0.0	0.00010549636037556704	0.3056505506706327	0.0	0.00022650435828513345	2	1.0	-0.9918	7.245269887421607e-05	0.0	488.0	
MAGOH	13.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	0.0	0.017037662200654082	0.3585228434917732	0.000402513195136317	0.07172163415493979	150	0.3817279772320827	0.253	0.00022844822001628491	3.4151947990896357e-07	210.03405572755418	
HTATSF1	110.0	5.0	0.0	2.0	0.0	95.0	7.0	0.0	1.0	0.0	0.0013714526848823715	0.3167497503908381	2.521445006232284e-06	0.007177482746284112	26	0.5753846153846154	-0.7577	0.0001980077914030093	6.785947800490322e-07	225.34615384615384	
POU3F1	12.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0004747336216900517	0.2899086097327188	2.17687058579975e-06	0.0001212218364446281	8	0.2222222222222222	-0.5224	0.00015265249522419092	5.595058197315007e-07	54.444444444444436	
NPY5R	108.0	2.0	1.0	1.0	0.0	101.0	2.0	0.0	0.0	1.0	0.0007384745226289692	0.32498953534220393	1.06334189658593e-05	0.0005188784506453345	13	0.5714285714285714	-0.6940000000000001	0.00017551338843343597	3.0807916419135787e-06	362.1428571428572	
RPP14	7.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.00374512079333263	0.3347271357282321	7.735482948647319e-05	0.004557075448987734	49	0.4909456740442656	-0.2022	0.00021781277178755008	9.04097942788479e-07	170.22535211267606	
SLC39A9	22.0	1.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	2.0	0.0021099272075113407	0.30732528013288785	3.4552411239150125e-05	0.0001815279472827489	26	0.10512820512820513	-0.1435	0.00020807217576127477	7.818179914098552e-07	90.475	
WNK4	135.0	8.0	1.0	0.0	0.0	114.0	7.0	0.0	5.0	0.0	0.0014769490452579384	0.33287618615407977	6.703027714947012e-05	0.0016125408942895085	21	0.3201058201058201	-0.2893	0.0001991315997724804	2.5177198234895995e-06	238.2142857142857	
ALDH3B2	52.0	1.0	0.0	0.0	0.0	47.0	1.0	0.0	2.0	1.0	5.274818018778352e-05	0.2386500852807089	0.0	1.8558062470281846e-06	1	0.0	-0.9333	4.173635199365221e-05	0.0	29.0	
LATS1	147.0	14.0	2.0	2.0	0.0	108.0	19.0	0.0	2.0	0.0	0.0027956535499525266	0.3513651824405768	8.803306757494937e-05	0.0016421099193581405	36	0.07547169811320754	-0.2307	0.0002135974662332436	1.6478277096331456e-06	165.43396226415095	driver
TELO2	74.0	2.0	0.0	0.0	0.0	67.0	3.0	0.0	2.0	0.0	0.0006329781622534022	0.31739331286854394	4.489305914949276e-06	0.00037566252364148523	11	0.13636363636363635	-0.7136	0.00016864253566025125	1.4878831645322282e-06	167.91666666666666	
LIG1	83.0	1.0	1.0	1.0	0.0	76.0	2.0	0.0	2.0	0.0	0.0037978689735204134	0.3479308880404452	2.958137017627241e-05	0.012329428789001578	61	0.6654929577464789	-0.4112	0.00021819795480017168	7.311488581602316e-07	280.44444444444446	
POLR3K	10.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0022681717480746914	0.3203844427704883	1.0642980884655176e-05	0.0036368966617699896	32	0.6976744186046512	-0.2724	0.0002095635617373575	3.6381992376425207e-07	130.06976744186048	
CAMSAP2	136.0	19.0	2.0	2.0	0.0	104.0	6.0	0.0	2.0	1.0	0.0003692372613144847	0.2819727210348813	1.2542947961519592e-06	5.6683527447991505e-05	7	0.2857142857142857	-0.42	0.00013774769655839554	3.8070963625687706e-07	49.57142857142857	
ZNF683	66.0	1.0	1.0	0.0	0.0	59.0	4.0	0.0	0.0	1.0	0.0004747336216900517	0.2902870514408856	3.725087965035964e-07	0.0001309908995772219	9	0.5	-0.8382	0.00015516522515287448	4.625613688837594e-07	146.33333333333334	
CSNK2A2	26.0	0.0	2.0	0.0	0.0	20.0	2.0	0.0	2.0	0.0	0.009494672433801034	0.3838133803316534	0.0009842868851949065	0.006189926461995862	59	0.0739913097454997	0.3091	0.0002259717461478941	1.129756620684595e-06	149.27777777777774	
DIP2A	142.0	3.0	0.0	1.0	0.0	122.0	11.0	0.0	5.0	0.0	0.0012659563245068044	0.3212829764685341	1.653689543784961e-05	0.0004163855248085209	22	0.06884057971014493	-0.4367	0.00019523348442301841	1.4971496938268039e-06	101.66666666666669	
PTPN3	113.0	9.0	0.0	0.0	0.0	86.0	13.0	0.0	5.0	0.0	0.0023736681084502585	0.3452490703861854	9.74906222183348e-05	0.0016699481484845676	37	0.19494949494949496	-0.3531	0.0002104765475157748	1.6214209132267715e-06	191.88888888888889	
CDK2AP2	6.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0008967190631923199	0.3079862700955349	1.6307404705669254e-05	0.00034499961062330026	14	0.007352941176470587	-0.3674	0.00018244181584867937	1.3717213905989573e-06	68.41176470588235	
TERF1	44.0	0.0	0.0	0.0	0.0	38.0	2.0	0.0	4.0	0.0	0.012659563245068044	0.3674866116061371	0.0029520251476820767	0.004039886088785301	49	0.025767085076708503	0.6612	0.00022707274747274663	6.024400310299645e-07	65.225	
HM13	32.0	1.0	0.0	1.0	0.0	23.0	4.0	0.0	3.0	0.0	0.00021099272075113408	0.2832785024514172	2.4758934054618155e-06	5.000317441663643e-05	4	0.0	-0.8358	0.00010888590432840224	6.4246913362416615e-06	95.75	
SSTR1	63.0	3.0	1.0	0.0	0.0	56.0	3.0	0.0	0.0	0.0	0.0023736681084502585	0.3194261318897045	9.652883630731956e-06	0.0009472882820731592	40	0.3191919191919192	-0.5238	0.00021080588819883907	5.270855701802437e-07	261.8666666666667	
GUCY2D	78.0	1.0	0.0	0.0	0.0	75.0	1.0	0.0	1.0	0.0	0.0004747336216900517	0.3003231915755457	0.00012560432057844484	0.00011287317910605068	5	0.08333333333333333	-0.1702	0.00014297864839694512	1.0976393324790413e-05	94.0	
RNPC3	17.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0	0.0	0.00284840173014031	0.32003727192735204	2.076462666668138e-06	0.018309227398999064	52	0.9266247379454928	-0.5843	0.00021407019113307263	1.2980940239164776e-07	264.9259259259259	
TMEM258	9.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0003692372613144847	0.2865899682294484	5.136090647964184e-06	3.870395049541926e-05	6	0.09523809523809523	-0.6169	0.00013975226120991306	2.588338017298377e-06	66.28571428571429	
