gene	leverage
CSN2	-0.6694
PRR5L	-0.5411
PHF21A	-0.6613
NIBAN1	-0.9768
ABI1	0.0063
ZSCAN9	-0.4751
SLAIN1	-0.4421
GLYR1	-0.5183
GATAD2B	-0.226
CAND2	-0.6645
DDIT4L	0.4562
RIPPLY1	-0.1282
A1CF	-0.3298
SH3RF1	0.0624
LDLRAP1	-0.2875
PKNOX1	-0.3146
HSF2BP	0.6294
SCNM1	0.2761
DAPL1	-0.8298
ANKRD55	-0.5434
PKNOX2	-0.2931
AKIP1	-0.9769
ZNF143	0.0526
SP2	-0.256
ZNF23	-0.603
GNG4	0.3535
VXN	-0.9151
DLGAP1	-0.2673
KIF5B	-0.1659
MBD3L1	-0.1005
ZNF131	-0.7465
IL16	0.23
GNG12	0.3845
JUP	0.2554
DEAF1	-0.4992
ZNF620	0.0274
TRIM73	-0.7037
WASHC1	-0.0603
IKZF1	0.157
NBPF6	-0.9347
SPRY4	-0.4866
GTF2F2	0.3275
SAXO2	-0.9724
ZNF655	0.4074
SREBF2	0.0239
KPRP	0.0922
TCP10L	-0.4556
MAGEL2	-0.8052
MYO15B	0.1088
REL	0.6406
ZNF417	0.2835
HCK	0.3082
ZFP64	-0.3822
DTX2	0.3546
F5H1Q3	-0.8863
SIGLEC6	-0.7205
ZBTB25	-0.2595
INCA1	0.5517
KIAA1217	-0.6166
ZMYM4	-0.7852
SAXO1	-0.273
ARHGAP9	-0.6184
DUSP10	-0.6474
STAT3	0.7285
DVL2	0.437
DVL3	0.5289
SMAD3	0.5966
SP1	0.7238
JUN	0.7438
EGR2	-0.0379
FOS	0.6034
TFAP2A	0.5076
MAPK1	0.6471
ATF3	-0.004
GATA2	0.2593
SIRT1	0.1409
CREB1	0.5857
SMAD2	0.5709
SMAD4	0.5843
DVL1	0.2776
ANKRD1	-0.267
TRAF2	0.7062
PHB2	-0.1436
PELP1	-0.2799
SOX15	-0.4044
CREM	-0.147
DPF2	-0.6037
GABPA	0.1815
GLIS2	-0.1055
HCFC1	0.0514
SPHK1	-0.4249
ZNF341	-0.7329
CTBP2	0.6209
TRIP6	0.3974
LASP1	0.0892
KLF8	-0.9797
MZF1	-0.7111
CDC25B	-0.4135
AIMP2	0.0869
PAK7	-0.9118
CDC42EP1	-0.7557
PHC2	0.0357
RBM42	-0.7066
RFX6	-0.1144
MED15	-0.1996
LNX1	0.6761
ADAMTSL4	0.4847
HOXA1	0.5551
GUCD1	-0.0069
FAM90A1	0.1862
DMRT3	-0.1729
GCM2	-0.2881
LMO4	0.2353
PRR35	0.0072
CRYBA2	-0.3941
ARID5A	0.2192
CYSRT1	0.7754
NDUFAB1	0.281
PKP2	-0.1935
WNK1	0.1712
TBC1D22B	-0.2935
DLGAP4	-0.1997
CASS4	-0.5172
RSPH14	-0.2738
ARHGEF10	-0.9521
LHB	-0.4168
TYK2	0.1567
THEG	-0.9648
MRPL27	-0.0213
KLF3	-0.7219
SNRPC	0.1811
SNRPB	0.2888
FAM110A	-0.3126
KIRREL2	-0.9211
HAPLN2	-0.3884
SBF2	-0.6668
KIDINS220	-0.753
SDCBP	0.6439
ZCCHC14	-0.778
CBX8	0.06
C1orf94	-0.3964
SNRPG	0.1245
TMEM108	-0.83
CRIP3	-0.9009
CREB5	0.3723
MRRF	-0.0169
TUBA3E	-0.3
MMP14	-0.0295
C9orf116	-0.9878
SAP30BP	-0.3782
TTLL10	-0.8079
HIPK1	-0.5816
SLC25A46	-0.5447
MYOZ3	-0.0472
SLU7	0.0404
PATL1	-0.6118
CNNM3	-0.2115
SHE	-0.7438
MRM3	-0.6583
FADS6	-0.6534
FAM222B	-0.2629
MSRB3	-0.3897
TSGA10IP	0.0907
MYPOP	-0.3665
WDR25	-0.4891
ODF3B	-0.9069
THAP7	-0.2749
KRTAP12-1	-0.2328
ASCL4	-0.8403
ZNF512B	0.1066
ZNF587	0.1364
TMSB4X	-0.4288
KRTAP12-2	0.303
DCDC2B	-0.7937
TRIM27	0.6166
E2F8	-0.8039
MYBPHL	-0.8257
VWC2L	-0.3052
C9J3D2	-0.4869
P4HA2	-0.6391
TRAF3IP2	-0.692
RAD21	0.5928
MPZL1	-0.8001
AMBP	-0.2237
CSF1	-0.4944
SRGN	-0.4645
FOSL2	-0.0802
GATA1	0.3321
LMO2	0.3833
ZFP36	-0.3358
PTPN6	0.4342
CORO1A	-0.2182
UBE2I	0.6753
TLE5	0.6066
TRO	-0.9615
RAB40B	-0.3691
HYAL2	-0.5434
NPRL3	-0.1924
PPIG	-0.4281
ADAM15	-0.4189
BAAT	-0.525
NFKBIB	-0.2405
C9ORF116	-0.9878
MTUS2	0.6693
EPHA10	-0.4338
Q5T6B4	-0.7328
EFCAB12	-0.9878
EPM2AIP1	-0.1534
UBE2Q1	-0.7056
ANKHD1	-0.4994
CCDC36	-0.2558
LNX2	0.0044
SLC44A3	-0.8336
FAM71C	-0.5524
TYMSOS	-0.9002
RHEBL1	-0.8548
KTI12	-0.9561
TMX3	-0.9878
FBXL18	-0.1029
FOXN4	-0.9179
PLEKHG4B	-0.9697
C16ORF35	-0.7891
Q9H8J7	-0.3768
PLEKHF2	0.6056
LATS2	-0.1857
TMEM14B	0.6857
ZNRD1	-0.2195
IKZF3	0.1859
TGFBR1	0.5625
CD81	-0.0244
GAPDH	0.1166
ENO1	-0.0871
TNFRSF1A	0.1387
EEF1A1	0.358
FTL	-0.3067
TIMP1	-0.4918
ANXA2	-0.0924
FUBP1	-0.3757
SERPINF1	-0.7499
FBN1	-0.1394
CLIC1	-0.3917
NOTCH2	0.1735
ECE1	-0.7748
OLFM3	-0.8929
ACTA2	0.1818
A2M	0.2621
HAGH	-0.6288
GGTLC1	-0.2765
LGALS3	-0.1887
OLFML3	-0.7767
PKLR	-0.3387
RFC1	-0.0446
IGLL1	-0.4738
MAEA	-0.042
C1QB	-0.1549
TKT	-0.6688
CAP1	-0.3231
ALDOA	-0.2419
MYL2	0.1246
SGTA	0.6622
USF1	0.458
USF2	0.2076
ERBB3	0.222
NFASC	-0.383
NRCAM	-0.3124
FZD10	-0.1488
FZD7	-0.0526
SPARC	-0.4249
SFRP1	-0.2721
FRZB	-0.2747
GLDN	-0.9608
ETS2	-0.0388
CHRNA3	-0.2606
CHRNB4	-0.1531
KRT31	0.6736
MDFI	0.788
KRTAP10-8	0.7399
SNX1	0.0792
KRT34	0.5963
KRTAP1-1	0.5232
KRTAP12-3	0.3788
KRTAP1-3	0.4665
KRTAP5-9	0.505
KRTAP9-3	0.2374
KRTAP10-9	0.5758
NOTCH2NLA	0.7327
NBPF19	0.5938
KRTAP10-7	0.6739
KRTAP10-3	0.6749
CHRNB1	-0.5557
MUSK	-0.417
GRB2	0.8061
ATF6B	-0.1024
GABRB2	-0.1725
SLC12A4	-0.4639
PPP1R9A	-0.6917
PRKAR1B	0.116
PPP1R2	-0.625
TGOLN2	-0.4109
PPP1R9B	-0.4343
PPP1CA	0.549
RPS6KB1	-0.0906
RAC1	0.7061
RAC3	0.5138
ARHGEF2	-0.2182
SHANK1	0.023
SHANK2	-0.0317
SHANK3	-0.1182
LGALS13	-0.7029
DSTN	-0.4967
CYBB	-0.3241
PFN2	-0.0873
CFL1	-0.0079
CFL2	-0.2621
EIF6	0.1611
SH3GL2	0.3102
PRSS23	-0.0901
NCF1	-0.1787
WASF1	-0.2567
SUMO4	0.035
PTPRO	-0.5655
ST3GAL3	-0.1272
NDRG1	-0.1805
DNASE1	-0.9611
ANXA5	-0.494
FPR1	-0.6027
GSN	-0.3949
LSP1	-0.3652
VIL1	-0.7619
BCAP31	-0.1046
TMSB4Y	-0.9147
MAP1A	-0.5547
NR3C2	-0.2646
PLEC1	-0.7547
DYNLL1	0.6163
PLD1	-0.4613
FHOD1	-0.5845
MYO1A	-0.9903
ATF7IP	0.1749
CAP2	-0.1965
SCIN	-0.7388
CAPZA3	-0.0267
NTAQ1	0.6879
CDC37	0.5846
ITGB3BP	0.1693
MAPK6	0.5053
DISC1	0.4574
RPS6KA5	-0.123
EHHADH	0.2666
APOE	0.234
CCDC22	0.4106
Q5T4W8	-0.7174
TNIK	-0.0646
WDYHV1	0.2522
GIT2	-0.1586
PPP1CC	0.4612
PS1TP5BP1	-0.7148
CDC42	0.6348
MMP1	-0.136
MMP13	-0.2982
MMP2	0.1091
RAC2	0.5489
RHOA	0.6105
RHOC	0.4978
RHOG	0.4381
RHOJ	0.4421
RHOQ	0.4982
CASP3	0.4081
CASP6	-0.2693
CASP7	0.0241
EIF4A1	0.0591
ACTR2	0.35
ACTR3	0.2376
AP2A1	0.2794
AP2A2	0.2178
ARPC1A	0.2181
ARPC2	0.2178
ARPC3	0.3075
ARPC4	0.2285
ARPC5	0.2061
CLTA	0.382
CLTB	0.2853
CTTN	0.0795
HIP1	-0.0276
IL7R	0.1789
ITSN1	0.2608
UBB	0.7326
WASL	0.1835
EZR	0.1886
RDX	0.0694
ANK2	0.0406
EED	0.1937
IQGAP1	0.073
MSN	0.1933
ACTL6A	0.0261
ACTL6B	-0.4518
ACTR3B	-0.6039
ACTR3C	-0.7351
AFDN	-0.1781
ANK3	-0.1119
ARHGAP10	-0.5321
ARHGAP35	-0.3835
ARID1A	-0.1508
ARID1B	-0.5648
ARID2	-0.4919
ARPC1B	0.0227
ARPC5L	-0.4499
BAIAP2	-0.1725
BRD7	-0.2484
BRK1	-0.5406
CAPZB	0.1235
CDH1	0.4484
CDH3	0.1611
CHN1	-0.411
CHN2	-0.4095
CTNNA1	0.4229
CTNNA2	0.2956
CTNNA3	0.381
CYFIP1	-0.3339
CYFIP2	-0.3273
DIAPH1	-0.2963
DKFZP686A1195	0.2059
DKFZP686D0714	-0.4053
DPF1	-0.5486
DPF3	-0.2889
ENAH	-0.3374
EVL	-0.3908
FMNL1	-0.8698
FMNL2	-0.7258
FMNL3	-0.804
GRLF1	-0.7626
HCLS1	-0.0039
HTT	0.5081
IFT57	-0.0214
IQGAP3	-0.7208
ITGA1	0.2414
ITGA10	0.0758
ITGA11	0.0648
ITGA2	0.1394
ITGA2B	0.1479
ITGA4	0.2529
ITGA5	0.2821
ITGA6	0.1531
ITGA9	0.1589
ITGAD	-0.2057
ITGAE	-0.2361
ITGAL	-0.0513
ITGAM	0.2639
ITGAV	0.3471
ITGAX	-0.1235
KDM3A	-0.4776
KDM3B	-0.6052
LCP1	-0.1673
LMNA	-0.0168
METAP1	-0.8059
MLLT4	-0.1253
MMP12	-0.4555
MMP15	-0.5356
MMP16	-0.7173
MMP19	-0.667
MMP20	-0.7413
MMP21	-0.8385
MMP23B	-0.7681
MMP24	-0.7342
MMP25	-0.7185
MMP27	-0.8385
MMP28	-0.8235
MMP7	-0.2075
MMP8	-0.4606
MMP9	0.0584
MRTFA	-0.5226
MYH1	-0.7513
MYH10	-0.3194
MYH11	-0.3074
MYH13	-0.7818
MYH14	-0.4934
MYH15	-0.9471
MYH2	-0.1185
MYH3	-0.1986
MYH4	-0.774
MYH6	-0.267
MYH7	-0.4525
MYH7B	-0.6709
MYH8	-0.2729
MYH9	0.0954
MYL10	-0.2879
MYL12A	-0.167
MYL12B	-0.1968
MYL5	-0.2958
MYL6	-0.0837
MYL6B	-0.1324
MYL7	-0.1967
MYL9	-0.1657
MYLPF	-0.2723
MYO10	-0.7231
MYO1B	-0.9445
MYO1C	0.0389
MYO1D	-0.9841
MYO1E	-0.9111
MYO1F	-0.8077
MYO1G	-0.9131
MYO1H	-0.9903
MYO5A	-0.1332
MYO5B	-0.5197
MYO5C	-0.9464
MYO6	-0.3199
NCK1	0.5751
NCKAP1	-0.2999
NCKAP1L	-0.3574
NCKIPSD	-0.3155
NECTIN1	-0.445
PBRM1	-0.4881
PFN1	-0.1894
PFN3	-0.7676
PFN4	-0.877
PHF10	-0.3931
PIP5K1C	-0.2162
PPARG	0.4244
PRKCA	0.5574
PRKCE	0.208
PRKN	0.1438
RACK1	0.0894
RNF2	0.1789
SET	-0.0302
SETSIP	-0.8235
SMARCA2	0.1606
SMARCA4	0.3191
SMARCB1	0.1834
SMARCC1	0.1388
SMARCC2	-0.1188
SMARCD1	0.3959
SMARCD2	-0.2741
SMARCD3	0.0892
SMARCE1	0.0896
SRGAP2	-0.2808
STK3	0.1326
STX1A	0.6171
STX4	0.2911
SYDE1	-0.4454
SYDE2	-0.6637
SYNPO	-0.8576
THRA	0.0097
TJP1	0.318
TNFAIP8	-0.4526
TRADD	0.1433
TWF1	-0.6084
TWF2	-0.4801
WAS	-0.0066
WASF2	-0.3061
WASF3	-0.4653
WDR1	-0.699
WHAMM	-0.7503
WIPF1	-0.429
WIPF2	-0.677
WIPF3	-0.7597
YWHAZ	0.6577
ZNF703	-0.5704
ZYX	-0.1702
PRKAR1A	0.122
WRN	-0.0794
AKAP1	-0.6129
VEZF1	-0.1319
PIK3R3	0.4993
GPKOW	0.0229
LENG1	-0.1252
ANKS1A	0.1273
FAM161A	0.2023
MBD3	0.1186
L3MBTL2	-0.0005
CCDC103	-0.5044
INPP5J	-0.4213
FAM187A	-0.6048
PRKACA	0.8617
AKAP7	-0.4948
AKAP14	-0.7364
CCDC187	-0.2311
BAG3	0.2528
PRKAA2	0.3971
GAS2L2	-0.4064
ZNF177	-0.4961
ZNF559-ZNF177	-0.6011
TEAD4	0.0004
SH2D4A	-0.1207
SMG9	-0.0719
CEP19	0.1914
DACH1	-0.2276
SYTL4	-0.4872
DTNB	-0.0301
PRPF18	-0.1135
SNW1	0.3083
EEF2KMT	-0.5481
RUNX1T1	0.0636
GUCA1A	-0.1558
TASOR2	-0.2776
POLE4	-0.3848
STK16	-0.0123
CDKN1A	0.4479
GNL3L	-0.7636
CAMSAP1	-0.5889
COX5B	0.1414
GOLGA1	-0.3095
FCHSD2	-0.0796
UACA	-0.6386
SHC3	0.0103
MED8	-0.145
NXF1	0.2284
IGFN1	-0.3053
ZMYND19	0.107
ZNF35	-0.5225
RARG	0.1082
ZNF329	-0.5586
PSMG1	-0.8492
BAG6	0.3108
BOD1L2	-0.9213
ADRB2	0.0023
EGFR	0.7212
PRKACB	0.8522
PRKACG	0.8588
MAPK3	0.6414
BCL2L1	0.3096
MLXIPL	-0.2841
CCL11	-0.1898
CCL4	-0.0881
CSK	0.1636
HEL-S-105	-0.404
PGR	-0.1991
PRKAR2B	0.1521
CD247	0.2759
EDN1	0.1274
GNAS	0.5537
AKAP5	-0.3577
F2	0.3095
FLJ00404	-0.5205
NOS1	0.0197
CDK4	0.4561
CF	-0.7666
AKAP10	-0.8302
BCL2	0.302
CD2	-0.3034
LIPE	-0.4099
MLC1	-0.7156
PPP1R1B	-0.5306
PRKG1	0.2509
PRKG2	0.1726
PTPN11	0.4955
SLC9A3R1	0.1111
SUFU	0.1277
GSK3B	0.5849
CSNK2A1	0.5637
NEK2	0.1325
CSNK2A2	0.3091
CDK5	0.2039
LMTK2	-0.8201
TERF2IP	0.5686
TINF2	0.4327
PPP1CB	0.3917
ZFR	-0.4531
AP1M1	0.3027
AP1M2	-0.2983
AP2M1	0.4066
AP3M1	-0.2701
AP4M1	-0.2
PRKD2	-0.2433
PIK3R1	0.6968
ABL1	0.5677
PLCG1	0.6219
AAK1	-0.1429
AMPH	0.0034
AP2B1	0.2797
AP2S1	0.1894
BIN1	0.0503
CLTC	0.443
CLTCL1	0.2836
DNAJC6	-0.1334
DNM2	0.2369
EPS15	0.0377
FCHO1	0.0105
FCHO2	-0.2385
FNBP1	-0.0336
FNBP1L	-0.0342
GAK	-0.1354
GAPVD1	-0.1564
HIP1R	-0.1548
HSPA8	0.5691
NECAP1	-0.1195
OCRL	0.1018
PACSIN2	-0.083
PIK3C2A	0.1104
RAB5A	0.226
REPS1	-0.0617
SGIP1	-0.1591
SNX9	-0.0456
SYNJ1	0.0838
SYNJ2	0.0119
FAM20A	0.5289
FAM20C	0.5382
TRIP10	0.129
TIAM1	-0.1849
ADRA1B	-0.4843
ADRA1A	-0.4754
CDKN2A	0.0434
DCX	-0.5281
DRD2	-0.1149
CCKAR	-0.5336
CCKBR	-0.6638
CHRM3	-0.449
RGS2	-0.0225
ACTA1	0.3871
OPRM1	0.1599
RGS9	-0.3372
SPATA13	-0.7055
YWHAE	0.6102
TP53BP2	0.2341
SPRED1	-0.2119
PRKCD	0.2841
PPP1R8	-0.4733
PPP1R15A	-0.3615
RB1	0.4236
VDR	0.0718
TP53	0.7699
EIF2AK2	-0.0101
STAU1	-0.3997
H2AFX	0.2523
BCL2L2	0.1628
FXYD1	-0.4017
AURKA	0.314
PCDH7	-0.0718
BAD	-0.1144
PPP1R10	-0.9012
AKAP9	0.1901
CAD	-0.5312
PPP1R2P9	-0.9942
PPP2CA	0.4764
PPP1R11	-0.8256
PHACTR3	-0.6976
MYO16	-0.6439
PHACTR1	-0.9336
CDC5L	0.3529
KIAA1949	-0.9942
PHACTR4	-0.9885
BAX	0.0823
APAF1	-0.3005
HSPA4	-0.3708
ID2	-0.0681
SKP1	0.341
PTEN	0.3004
CUL1	0.3626
AKAP11	-0.5715
KIF13A	-0.653
NOM1	-0.7911
YLPM1	-0.8204
PPP1R15B	-0.9756
C9orf75	-0.9942
STAM	-0.1756
KIF18A	0.0011
KANK1	-0.6536
PPP1R3B	-0.401
PLCL2	-0.6305
CASC5	-0.957
C1orf114	-0.9942
PPP1R13B	0.0717
ZFYVE16	-0.5171
PPP1R13L	-0.7984
CSRNP2	-0.9669
SYTL2	-0.7537
TUSC3	-0.3801
HEYL	-0.3538
PPP1R16B	-0.4409
PPP1R3C	-0.2979
PPP1R2C	-0.9783
CSRNP1	-0.8518
TPRN	-0.5167
PPP1R27	-0.8698
RANBP9	-0.2123
TGFBR2	0.1945
PPP1R18	-0.2146
PPP1R7	-0.5667
SNCAIP	-0.3632
RIF1	0.2898
WBP11	-0.0251
H7BXP5	-0.9942
MPHOSPH10	-0.1545
PPP1R37	-0.5288
CD2BP2	-0.0844
DLD	0.2023
MAPT	-0.144
AKT1	0.612
YAP1	0.166
TOR1AIP1	-0.363
PPP1R26	-0.9597
CCDC181	-0.9942
CDCA2	-0.8847
PPP1R2B	-0.5784
CNST	-0.9344
AATK	-0.9699
C9ORF75	-0.9942
KNL1	-0.1595
SH3RF2	-0.7445
TOE1	-0.4441
UPI000013F4A0	-0.9707
UPI0000EE3EB3	-0.9942
UPI0005D02BBB	-0.9942
AURKB	0.2861
CCNB1	0.2879
CDK1	0.627
CPSF1	0.0926
CPSF2	0.0227
CPSF3	0.0202
CPSF4	0.0507
FIP1L1	0.0405
ISG15	0.0834
MDM2	0.3774
WDR33	0.0644
XPO1	0.5708
EIF2S1	0.044
DAB2	-0.2092
EPN1	-0.2054
BHLHE40	0.1536
ATM	0.3621
CHEK2	0.1384
HDAC1	0.6954
MAX	0.4283
CEBPA	0.4421
CACNA1C	0.0414
CACNA1D	-0.0049
MAPRE1	0.3058
PLIN1	-0.6889
CDK2	0.3756
GPX1	-0.8338
LRRK2	0.1055
TP73	0.0571
TRIM28	0.2537
WWTR1	0.1011
PRKAG1	0.2163
TERF2	0.2291
ATF2	0.3508
MEF2C	0.3117
PFDN6	-0.4164
POLR2E	0.4965
ACVRL1	0.0384
AKT2	0.3074
AKT3	0.1686
ARNTL	-0.0606
ATF4	0.3237
AXIN1	0.0316
BMP2	0.0887
BMP4	0.0504
BMPR1A	0.1808
BMPR1B	0.3995
BMPR2	0.2983
BTBD10	-0.7932
C1QA	-0.0707
CACNA1F	-0.102
CACNA1S	-0.0618
CACNA2D1	-0.2621
CACNA2D2	-0.2469
CACNA2D3	-0.2712
CACNA2D4	-0.2712
CACNB1	-0.1996
CACNB2	-0.1697
CACNB3	-0.161
CACNB4	-0.1611
CACNG1	-0.1404
CACNG2	-0.0822
CACNG3	-0.114
CACNG4	-0.1156
CACNG5	-0.2712
CACNG6	-0.2712
CACNG7	-0.2515
CACNG8	-0.1312
CALM3	0.5873
CALML3	0.22
CALML4	0.1354
CALML5	0.1427
CALML6	0.1473
CAMK2A	0.3919
CAMK2B	0.3704
CAMK2D	0.2955
CAMK2G	0.3082
CCNA1	-0.3368
CCND1	0.2167
CCND3	0.1167
CCNE1	0.0636
CDC2	-0.5111
CDC25C	-0.2257
CDK3	0.0259
CENPE	0.0788
CHAF1A	-0.097
CLOCK	-0.0439
CREB3	0.6598
CREB3L1	0.6017
CREB3L2	-0.012
CREB3L3	0.0848
CREB3L4	0.0061
CRY1	-0.3174
CRY2	-0.1881
CSNK1E	0.3777
CYCS	0.2505
DCTN1	0.4229
DHCR7	-0.779
DKFZP451O0517	-0.1995
DKFZP686L20222	-0.5138
DKFZP686N2325	-0.095
DLG2	0.2231
DLG3	0.2341
EIF4EBP1	-0.3203
ENG	-0.4499
GRIA1	0.036
GRIA2	-0.3416
GRIA3	-0.2786
GRIA4	-0.3133
GRIN1	0.1398
GRIN2A	-0.0442
GRIN2B	0.1098
GRIN2C	-0.252
GRIN2D	-0.1138
GRIN3A	-0.5581
GRIN3B	-0.8521
GSK3A	0.1533
GYS1	-0.0418
GYS2	-0.4473
HDAC3	0.4874
HJV	-0.2256
HUWE1	0.1864
KCTD20	-0.9783
KIF14	-0.5354
LBR	-0.5852
LPIN2	-0.9942
LRRC1	-0.7374
MAPRE2	-0.3322
MEF2B	-0.7004
MEF2D	-0.3932
NMDAR2C	-0.5948
NONO	-0.1614
OAZ1	-0.5195
PARD6B	-0.2475
PCDH11X	-0.0718
PER1	-0.4955
PER2	-0.2657
PHKA1	-0.426
PHKA2	-0.3872
PHKB	-0.1928
PHKG1	-0.3894
PHKG2	-0.3785
PKN1	-0.0299
PLN	0.062
PPP1R14A	-0.6778
PPP1R16A	0.1307
PPP1R1A	-0.5787
PPP1R3A	-0.4409
PPP1R3D	-0.3963
PPP1R3E	-0.4477
PPP1R3G	-0.9942
PPP2R5C	-0.0402
PPP2R5D	0.0291
PPP2R5E	-0.0424
PPP4C	-0.2748
PPP5C	0.2147
PSMB10	0.1244
PYGB	-0.3236
PYGL	-0.2412
PYGM	-0.0701
RASSF5	-0.2497
RBL1	0.0141
RBL2	-0.1175
RGMA	-0.2197
RGMB	-0.3703
ROCK1	0.1317
ROCK2	-0.0055
RORC	-0.3931
RPS6KA1	-0.1667
RPS6KA2	-0.4458
RPS6KA3	-0.2034
RPS6KA6	-0.1123
RYR2	-0.1371
SCRIB	-0.1627
SGO2	-0.2309
SIRT2	-0.3539
SMAD1	0.5535
SMAD5	0.2071
SMAD7	0.062
SMAD9	0.4872
SORL1	-0.4903
SSU72	-0.2413
TGFB1	0.3974
TMOD3	-0.8543
TRPM8	-0.7214
TSC2	0.0136
TSG101	0.355
UBN1	-0.6999
WDR82	-0.4349
YWHAB	0.563
YWHAH	0.3803
MAPK8	0.4219
PIN1	0.4377
MAPK9	0.385
PIK3CA	0.601
PDPK1	0.1533
TERT	-0.0986
RPS6	0.3905
NCBP1	0.4443
MTOR	0.2684
STK11	0.3098
TRAF4	0.1988
NEK6	0.1657
EEF2K	-0.7091
POLDIP3	-0.1994
COASY	-0.7267
EIF4B	-0.1309
RPTOR	0.1056
PDK1	-0.3829
CSNK2B	0.5193
HSP90AB1	0.7576
NEDD4	0.2365
EIF3B	-0.2115
IRS1	0.0857
