gene	betweenness
ACOT12	3.5450768707332246e-05
ACOT13	9.721840957127122e-06
ACOT2	5.734480703316397e-05
ACOT4	0.0
ACOT7	0.00012410744850181033
ACOT7L	0.0
ACOT8	7.96021769445401e-06
ACOT9	0.0
ACOX1	1.2359464572480535e-05
ACOX2	3.992936761844883e-06
ACOX3	2.8991633908804654e-06
ACP1	2.6079685049876142e-05
ACP5	4.58809862785842e-05
ACP6	6.120568950360618e-06
ACPP	4.569421979643126e-07
ACR	1.035921261365534e-06
ACRV1	0.0
ACSBG1	2.1696042840427162e-07
ACSBG2	9.294574719856622e-10
ACSF2	2.9005570214824015e-05
ACSF3	6.2063497617758455e-06
ACSL1	4.2210199695994234e-08
ACSL3	6.605692825453938e-06
ACSL4	3.0494469176454707e-06
ACSL5	2.3014762940450474e-05
ACSL6	1.0754596034537073e-05
ACSM1	7.392138894532861e-07
ACSM2B	5.02168130170931e-07
ACSM3	1.880276759790768e-08
ACSM5	0.0
ACSS1	2.158835012434346e-06
ACSS2	3.8091182893456454e-07
ACSS3	0.0
ACTA1	0.000891216549440225
ACTA2	0.00022400395248390063
ACTB	0.006308076740955471
ACTBL2	6.678843291419666e-05
ACTC1	0.0003349231291347054
ACTG1	0.001893446898501882
ACTG2	4.928029983285394e-05
ACTL6A	0.00012863895715862112
ACTL6B	3.1973443319126546e-05
ACTL7A	0.0
ACTL8	5.601904175525999e-09
ACTL9	0.0
ACTN1	0.0012404840018131243
ACTN2	0.0008066854878346054
ACTN3	0.0006938963506703804
ACTN4	0.000509854428882892
ACTR10	6.265023078705077e-05
ACTR1A	0.00038965905265491997
ACTR1B	4.700365324242675e-05
ACTR2	0.0007432794553553917
ACTR3	0.00036759298066992127
ACTR3B	7.149166695874881e-06
ACTR3C	4.5679376290422725e-08
ACTR5	6.7662230988044105e-06
ACTR6	0.0
ACTR8	1.5841124178111063e-06
ACVR1	0.0004654838117778303
ACVR1B	0.0001356116265635125
ACVR1C	3.345839794328667e-05
ACVR2A	6.724800992548065e-05
ACVR2B	0.0001798773446874279
ACVRL1	9.030225571365609e-05
ACY1	1.43442277421227e-05
ACY3	8.525884185780603e-05
ACYP2	3.802133091744278e-08
ADA	2.683522541964852e-05
ADA2	3.959903055687742e-07
ADAL	0.0
ADAM10	0.00011652424940288796
ADAM11	1.4918258106171347e-06
ADAM12	6.362984913767869e-05
ADAM15	8.1772064218443e-05
ADAM17	0.000265277822644321
ADAM19	2.24108147935006e-06
ADAM2	4.054846238931731e-05
ADAM20	0.0
ADAM21	3.9242602653442254e-05
ADAM22	0.0001810296775041088
ADAM23	4.08048457705558e-05
ADAM28	2.107908432260179e-09
ADAM30	0.0
ADAM32	0.0
ADAM33	8.806518629513674e-05
ADAM3B	0.0
ADAM8	1.3700592471695043e-06
ADAM9	8.284333197488283e-06
ADAMTS1	1.7527603263805877e-05
ADAMTS10	4.305588887604795e-06
ADAMTS12	4.079682664279228e-06
ADAMTS13	1.326379287800463e-06
ADAMTS14	1.2984434841208702e-06
ADAMTS16	0.0
ADAMTS2	1.2704895713974934e-05
ADAMTS3	1.3765726392342834e-05
ADAMTS4	1.480426379517794e-05
ADAMTS5	1.3730106655590145e-06
ADAMTS7	6.956293214615119e-10
ADAMTS8	0.0
ADAMTS9	5.076611598310057e-07
ADAMTSL1	1.4429543798191218e-07
ADAMTSL2	4.198414282596412e-08
ADAMTSL3	1.2649965323886137e-06
ADAMTSL4	0.001177200257865241
ADAMTSL5	5.45425784495451e-08
ADAP1	2.8284491491962867e-05
ADAP2	3.8552187537566006e-07
ADAR	4.311917779224009e-06
ADARB1	0.0001234955221677553
ADAT2	1.710731654630096e-06
ADAT3	1.102830765461518e-06
ADCK1	7.622446171179732e-08
ADCK2	0.0
ADCK5	1.4428276625714403e-06
ADCY1	1.6498374686562433e-05
ADCY10	0.0001056749653028814
ADCY2	6.288526324130768e-06
ADCY3	9.006614628182128e-05
ADCY4	3.105562251435881e-05
ADCY5	1.7112821973771906e-05
ADCY6	6.0554524748810685e-05
ADCY7	3.549259380164927e-05
ADCY8	1.1228359928502921e-05
ADCY9	1.3976000608661514e-05
ADCYAP1	2.6253184442060313e-05
ADCYAP1R1	9.772284684260366e-06
ADD1	3.3928408510661236e-05
ADD2	1.2258911709784645e-05
ADD3	4.7099933649741055e-06
ADFP	0.0
ADGRA2	1.0085863344843975e-06
ADGRA3	0.0
ADGRB1	2.1658462332473614e-05
ADGRB2	0.0
ADGRB3	0.00010750087966996791
ADGRD1	0.0
ADGRD2	1.5229101825383033e-08
ADGRE2	1.4624371736741672e-05
ADGRF1	0.0
ADGRF4	0.0
ADGRF5	4.547155087952919e-06
ADGRG1	2.1407424799760757e-08
ADGRG3	1.5340265204391975e-06
ADGRG5	1.031634831724805e-08
ADGRG7	1.260869908767267e-06
ADGRL1	1.432749904044353e-06
ADGRL2	0.0
ADGRL3	2.4624107643434357e-09
ADGRV1	1.5943388876005666e-05
ADH1A	4.956861962730936e-05
ADH1B	0.00026975717397039384
ADH1C	8.97018944997038e-06
ADH4	2.7110785866252884e-05
ADH5	0.00022244120507417371
ADH6	0.0004064792194157521
ADH7	4.755408383289542e-05
ADHFE1	1.0321178423606918e-06
ADI1	5.902600490235982e-08
ADIPOQ	0.00040482695810355255
ADIPOR1	2.384963191817646e-05
ADIPOR2	8.838972156865206e-06
ADIRF	5.6605446019476755e-06
ADK	1.0317501782473836e-07
ADM	1.239470612979474e-05
ADM2	7.092780618036999e-09
ADNP	2.381496622597789e-06
ADNP2	1.4963898381611344e-07
ADO	9.615074912298866e-08
ADORA1	4.3678579122925834e-05
ADORA2A	7.717534297713395e-05
ADORA2B	3.197716146629476e-05
ADORA3	2.9251147171744517e-07
ADPGK	8.676091501973426e-07
ADPRH	1.9049698051319868e-07
ADPRHL2	1.9137745642569308e-07
ADPRS	5.581423703183427e-08
ADRA1A	3.3229351727165815e-05
ADRA1B	4.262328483501294e-05
ADRA1D	2.2504271081804058e-05
ADRA2A	2.3381208777267906e-05
ADRA2B	5.834786322400502e-06
ADRA2C	9.543382197163002e-05
ADRB1	5.1832448040819175e-05
ADRB2	0.00032629005884051625
ADRB3	6.9924237857795e-06
ADRBK1	2.130818313797741e-05
ADRBK2	2.2106382452454593e-07
ADRM1	0.00013474542624485343
ADSL	1.6889242357288737e-06
ADSS	6.693365560018214e-07
ADSS1	3.1580103033700804e-06
ADSS2	1.5020563473997218e-06
ADTRP	1.169490867170187e-05
AEBP1	6.81265249434922e-06
AEBP2	1.3415430781153172e-05
AEN	3.28114542458418e-05
AES	1.3926846113612136e-05
AFAP1	1.8986809396863425e-07
AFAP1L1	0.0
AFAP1L2	1.1982478861187353e-05
AFDN	9.400946560276678e-05
AFF1	6.1386558313083485e-06
AFF2	3.956410486776021e-09
AFF4	1.8043699547747434e-05
AFG1L	2.283145280831269e-06
AFG3L2	4.123217484247072e-05
AFMID	1.2780835017828278e-07
AFP	3.376493522828216e-05
AFTPH	8.794152544127691e-07
AGA	6.265370684958737e-07
AGAP1	1.9052573124187628e-05
AGAP2	1.1333198313337385e-06
AGBL2	2.7946708103444827e-08
AGBL5	0.0
AGER	0.00010890580287525941
AGFG1	1.9577691490563213e-05
AGFG2	0.0
AGGF1	3.025778077042813e-06
AGK	3.301697799931404e-05
AGL	3.7572366776175774e-06
AGMO	0.0
AGO1	3.74205635645261e-05
AGO2	0.00019096940474037588
AGO3	2.021425588170827e-05
AGO4	4.718144931516415e-06
AGPAT1	1.0567053889910706e-05
AGPAT2	4.147337151849723e-06
AGPAT3	1.9345313644052135e-05
AGPAT4	5.892191393084285e-05
AGPAT5	6.717357251658668e-06
AGPAT6	0.0
AGPS	1.7822393905649695e-06
AGR2	0.0007223098034153644
AGR3	0.00011355972936569078
AGRN	0.00035286727927798977
AGRP	4.407081237121422e-06
AGT	0.0008298418411796281
AGTPBP1	1.2346738199667464e-05
AGTR1	9.309764189895083e-05
AGTR2	4.242183279533743e-05
AGTRAP	0.0018257729757357613
AGXT	9.684122715650773e-05
AGXT2	4.7500775688578825e-08
AHCTF1	6.284819922860264e-06
AHCY	4.53753849478886e-05
AHCYL1	6.551348703606365e-05
AHCYL2	5.429999457609788e-07
AHDC1	2.8612653359662378e-06
AHI1	3.341762750561802e-05
AHNAK	1.2510518564948688e-05
AHNAK2	1.679660537838083e-05
AHR	7.488234644286226e-05
AHRR	1.0112272615453682e-05
AHSA1	1.370244894396727e-05
AHSA2	0.0
AHSA2P	7.765403250905532e-07
AHSG	2.089909393749513e-05
AHSP	1.1931193900870903e-05
AICDA	0.0005599660724246701
AID	0.0
AIDA	5.391621658412302e-06
AIF1	3.406788686833856e-06
AIF1L	8.823086943561933e-07
AIFM1	0.00011094010032364504
AIFM2	1.0017388327574917e-06
AIFM3	0.0
AIG1	3.147858043084421e-05
AIM2	0.0001223409705522679
AIMP1	3.6895497467933436e-05
AIMP2	0.0003067890733357899
AIP	0.0002449424040226635
AIPL1	3.439992029711972e-05
AIRE	8.135873646108703e-06
AJAP1	0.0
AJUBA	0.00038783266964666007
AK1	1.942830567172827e-06
AK2	2.6053151892003613e-05
AK3	6.784722654102662e-06
AK4	4.2286053344412695e-07
AK5	0.000199837319220729
AK6	8.892850022453857e-06
AK8	5.301451223687599e-06
AK9	6.349659566141166e-08
AKAIN1	0.0
AKAP1	0.00010570062763635702
AKAP10	3.5161613804524414e-06
AKAP11	1.9920417933578504e-05
AKAP12	8.391455083184709e-07
AKAP13	2.784094062705257e-05
AKAP14	7.765726836823543e-06
AKAP17A	2.0290353832730765e-05
AKAP2	7.350029674205865e-07
AKAP3	1.5837235608818355e-05
AKAP4	0.00022061500242548135
AKAP5	5.209619306862851e-05
AKAP6	6.389258384174385e-06
AKAP7	9.963871552123914e-06
AKAP8	0.00021126220920938526
AKAP8L	0.00015167301895986822
AKAP9	0.0005454104586156102
AKD1	0.0
AKIP1	6.801266724768324e-08
AKIRIN1	0.0
AKIRIN2	5.9794840299309736e-06
AKNA	2.4835625470697848e-08
AKNAD1	8.265153785016367e-07
AKR1A1	1.2574978318517915e-06
AKR1B1	0.00011404045048404124
AKR1B10	8.893039167102561e-06
AKR1B15	0.0
AKR1C1	2.921128088445439e-05
AKR1C2	0.00011087393736951913
AKR1C3	0.00013483652204674751
AKR1C4	0.0
AKR1D1	1.5261977969485815e-07
AKR1E2	1.0689677045777326e-07
AKR7A2	5.437995104434328e-06
AKR7A3	2.8822143869947055e-06
AKT1	0.0062253818897024
AKT1S1	2.7757310426228704e-05
AKT2	0.0012522427325082602
AKT3	0.0005957362918145909
AKTIP	0.00024127466495912564
AL049697.1	6.887756800831027e-05
AL117350.1	2.1157823878792832e-07
AL365205.1	1.567028597821945e-07
AL807752.7	8.397685319797484e-07
ALAD	0.0
ALAS1	0.00031222084347143955
ALAS2	6.531881725642378e-06
ALB	0.0003106712191299541
ALCAM	4.493116072254886e-05
ALD	0.0
ALDH16A1	7.435221348089399e-06
ALDH18A1	1.5327958296881725e-06
ALDH1A1	5.265366509513661e-06
ALDH1A2	4.752416650643741e-07
ALDH1A3	0.00014061516446587505
ALDH1B1	8.690232276959142e-07
ALDH1L1	0.00010534053940755967
ALDH1L2	0.0
ALDH2	0.0003245407593390328
ALDH3A1	5.854187298463565e-05
ALDH3A2	1.488044276804279e-05
ALDH3B1	0.00028210985052081426
ALDH3B2	0.0
ALDH4A1	9.52022781734858e-08
ALDH5A1	4.837955938834702e-06
ALDH6A1	0.0
ALDH7A1	1.251504414725968e-06
ALDOA	0.0001345459372729645
ALDOB	0.00010306051619082674
ALDOC	6.201389763245329e-05
ALG1	0.00010534053940755967
ALG10	4.086511826598473e-06
ALG10B	3.060460964607081e-07
ALG11	0.0
ALG12	1.4699651080819091e-06
ALG13	0.00010634276973047804
ALG14	0.0
ALG2	0.00021081646913201696
ALG3	9.468272354733787e-06
ALG8	5.167052107324312e-06
ALG9	9.418324874958243e-06
ALK	1.189130480027763e-05
ALKAL1	0.0
ALKBH1	0.0
ALKBH2	0.0
ALKBH3	1.4371472214359647e-05
ALKBH4	1.9212901653559486e-06
ALKBH7	1.2368754641451247e-07
ALKBH8	1.852198910589224e-06
ALMS1	3.280754815727618e-05
ALOX12	1.298872695218517e-06
ALOX12B	2.1475779062701196e-07
ALOX15	0.0
ALOX15B	7.069765152665665e-06
ALOX5	0.00018578432859213124
ALOX5AP	1.91481034451431e-05
ALOXE3	5.976577298603184e-06
ALPG	3.2435556543963356e-06
ALPI	2.494043623372012e-05
ALPK1	4.341646306307181e-07
ALPK2	0.0
ALPK3	0.0
ALPL	1.6682995799561103e-05
ALPP	0.00020663514107322893
ALPPL2	0.0
ALR	0.0
ALS2	3.5405052767583756e-06
ALS2CL	4.053959357432355e-06
ALS2CR11	1.2873178853697527e-06
ALS2CR12	0.0
ALS2CR14	2.3954036255504156e-07
ALS2CR8	6.300688868560812e-08
ALX1	0.00012253910221392088
ALX3	0.0
ALX4	2.8324306988197174e-05
ALYREF	4.317370432641387e-05
AMACR	0.0
AMBN	1.3246335267609914e-06
AMBP	8.792242492054729e-05
AMBRA1	1.1527048674604352e-05
AMD1	2.2273131223592133e-08
AMDHD2	5.401532473095995e-07
AMELX	6.089627447659414e-07
AMELY	1.819152042473308e-07
AMER1	3.87434356058345e-05
AMER2	0.0
AMER3	9.164378391263745e-10
AMFR	3.5336361686026725e-05
AMH	3.73516750835201e-05
AMHR2	5.404428126780791e-05
AMIGO1	0.0001726783024031773
AMIGO2	1.8926112897092392e-05
AMIGO3	0.0
AMMECR1	5.359202041983268e-07
AMN	1.8179060097537849e-06
AMOT	0.00023507256915235097
AMOTL1	5.799370250220734e-07
AMOTL2	0.0002611735616300983
AMPD1	3.908979535735243e-07
AMPD2	2.0692971168988542e-05
AMPD3	1.4554825518480509e-05
AMPH	0.00016746873468229695
AMT	2.845497958246167e-06
AMTN	2.2289806631393968e-07
AMY1A	0.00021130106056542334
AMY1B	0.0
AMY1C	0.0
AMY2A	1.731715918744772e-06
ANAPC1	3.0205001495815664e-05
ANAPC10	3.1977892915224184e-05
ANAPC11	0.00024678073950931575
ANAPC13	1.342300353536013e-06
ANAPC15	1.357681959762614e-05
ANAPC16	9.327673037532916e-06
ANAPC2	4.9326044381454697e-05
ANAPC4	1.5952188395391253e-05
ANAPC5	3.4247029767445534e-05
ANAPC7	1.908131677545927e-05
ANG	4.1136232546933296e-05
ANGPT1	1.8787934720306925e-05
ANGPT2	7.249303656072364e-06
ANGPT4	3.7679521530376614e-06
ANGPTL1	1.59927689309129e-08
ANGPTL3	3.139746368961869e-06
ANGPTL4	4.4552333966757545e-05
ANGPTL5	0.0
ANGPTL6	0.0
ANGPTL7	0.0
ANGPTL8	7.73375242874144e-07
ANK1	0.00021572711183594475
ANK2	0.00025919670588041803
ANK3	0.00012903505970221838
ANKEF1	1.3738487913090143e-06
ANKFY1	1.540086938959159e-06
ANKH	1.642006276248607e-07
ANKHD1	3.542796405363303e-05
ANKIB1	0.0
ANKK1	3.8221773346262746e-05
ANKLE2	1.3927765457365097e-06
ANKMY2	1.3369448543347601e-05
ANKRA2	3.236624384769361e-06
ANKRD1	9.645456272380367e-05
ANKRD10	9.84308799710364e-06
ANKRD11	0.00031268244818058666
ANKRD12	1.8694206869710175e-06
ANKRD13	8.397954416799545e-08
ANKRD13A	1.8226414488524863e-06
ANKRD13B	3.538066815403517e-08
ANKRD13C	0.0
ANKRD13D	8.240748010812217e-07
ANKRD17	8.220689423764504e-06
ANKRD2	1.2933964682883929e-05
ANKRD20A12P	0.0
ANKRD22	0.0
ANKRD23	1.305310110367597e-05
ANKRD24	1.4811860318674034e-06
ANKRD26	1.2528210224501109e-06
ANKRD26P1	0.0
ANKRD27	4.157721380402238e-06
ANKRD28	0.0001629106459454672
ANKRD29	6.513204844982338e-06
ANKRD33	1.1429912388343901e-05
ANKRD34A	0.0
ANKRD35	0.0
ANKRD36	1.4045757356982527e-06
ANKRD36B	7.256724880013272e-06
ANKRD36BP1	3.873948959115494e-06
ANKRD37	1.0320175805984712e-07
ANKRD40	1.7305418400086073e-06
ANKRD44	1.0726699795011548e-06
ANKRD45	7.645804418750658e-08
ANKRD46	9.445478040977855e-05
ANKRD49	7.902999071877999e-07
ANKRD50	4.971100854540339e-06
ANKRD52	1.28810580482355e-07
ANKRD53	4.687207398422436e-07
ANKRD54	3.282178111722415e-07
ANKRD55	9.765350004330613e-06
ANKRD6	2.679236807927874e-07
ANKRD7	0.0
ANKRD9	6.561308122953658e-08
ANKS1A	0.00042914789126416973
ANKS1B	1.797077481970243e-06
ANKS3	6.605735383019582e-07
ANKS4B	9.869206681787312e-06
ANKS6	2.6009475793663492e-05
ANKZF1	1.7593418639147632e-05
ANLN	7.409118446928834e-06
ANO1	0.00013276563586988753
ANO10	4.5873745765988264e-07
ANO2	4.5873745765988264e-07
ANO3	4.5873745765988264e-07
ANO4	4.5873745765988264e-07
ANO5	4.5873745765988264e-07
ANO6	6.8706673687345685e-06
ANO7	4.5873745765988264e-07
ANO8	1.3739356917867264e-05
ANO9	2.264396806458291e-05
ANOS1	2.3404239944655324e-06
ANP32A	4.678611254448991e-05
ANP32B	5.094454249028514e-05
ANP32C	3.4401659662535614e-09
ANP32D	0.0
ANP32E	4.959508303031063e-07
ANPEP	5.919027341887967e-07
ANTKMT	4.4540849752271786e-05
ANTXR1	5.481019970311363e-06
ANTXR2	1.0402115129481143e-06
ANXA1	0.00020012933648458768
ANXA10	1.586828369367847e-07
ANXA11	3.432546500490785e-05
ANXA13	4.350568103945712e-07
ANXA2	0.00025062496220627805
ANXA2P2	3.696114147987621e-07
ANXA3	1.0539421904669802e-05
ANXA4	3.5481587405397023e-06
ANXA5	3.0109931477704078e-05
ANXA6	5.9199062783765095e-06
ANXA7	0.000515442758068541
ANXA8	1.1127978271825953e-06
ANXA8L1	1.1127978271825953e-06
ANXA9	1.9263632562886866e-06
AOAH	0.0
AOC1	4.946506185356764e-06
AOC2	1.8108034894218794e-07
AOC3	2.688718429103501e-05
AOPEP	0.0
AOX1	8.242597808502845e-06
AP1AR	9.043202451894682e-08
AP1B1	0.00017628398652262762
AP1G1	0.00014492587843447705
AP1G2	8.28840468489987e-05
AP1M1	0.0008203086520483664
AP1M2	4.790184797514859e-05
AP1S1	2.959625823821559e-05
AP1S2	2.705926087526134e-05
AP1S3	1.6004740829556153e-05
AP2A1	0.0006015289390441156
AP2A2	0.00033745718192969184
AP2B1	0.000793137436108164
AP2M1	0.0018470482666325782
AP2S1	0.0003300431926368591
AP3B1	5.204791675183856e-06
AP3B2	4.3856938565631536e-07
AP3D1	3.3364564760044226e-05
AP3M1	6.14257384700866e-05
AP3M2	0.0
AP3S1	4.7555363609321574e-06
AP3S2	3.96629181232065e-06
AP4B1	1.9947080136395635e-06
AP4E1	1.4989924739755717e-05
AP4M1	1.6193946404337046e-05
AP4S1	6.4006063209862846e-06
AP5B1	0.00011629636419472102
AP5M1	0.0
AP5S1	7.619619138874071e-06
AP5Z1	9.246418161396688e-06
APAF1	4.106989465878496e-05
APBA1	0.00010714093732613214
APBA2	1.585857086966813e-05
APBA3	9.725954351429925e-06
APBB1	9.874404683770456e-05
APBB1IP	3.7512377986341794e-05
APBB2	2.8596037215441058e-05
APBB3	1.9133452447540785e-05
APC	0.0020466827031346254
APC2	3.66705845402861e-05
APCDD1	0.0
APCDD1L	4.910439589854819e-08
APCS	3.358969252017595e-05
APE1	0.0
APEH	1.5656555285422993e-05
APEX1	0.0002549513959823261
APEX2	6.623791809507481e-06
APH1A	0.00026361078669950806
APH1B	7.32923461912615e-05
API5	1.8825776414327096e-06
APIP	1.6938857747772806e-05
APLF	0.000215826963798062
APLN	1.5577405757574225e-05
APLNR	0.00012563945452928455
APLP1	0.0002755409543444639
APLP2	1.6965913874943376e-05
APMAP	2.990549650530348e-06
APOA1	0.0009511973611659707
APOA1BP	0.0
APOA2	0.00044910048465361967
APOA4	6.326087202392136e-05
APOA5	4.832139660208798e-05
APOB	0.0006852840739051208
APOBEC1	0.00014452925023396282
APOBEC2	0.0
APOBEC3A	1.1356454559197912e-06
APOBEC3B	1.3814904354199432e-06
APOBEC3C	1.0937741779719562e-05
APOBEC3D	0.0
APOBEC3F	0.00010642612110108505
APOBEC3G	4.341907123605422e-05
APOBEC3H	1.870961883313731e-07
APOBR	2.169484572003849e-07
APOC1	0.00011584308690707997
APOC2	6.1188369921844526e-06
APOC3	5.0914225425918405e-05
APOC4	4.917686697686212e-05
APOC4-APOC2	3.336263295332535e-05
APOD	0.00014901454907865363
APOE	0.0004308773384074688
APOF	1.5774347552178536e-08
APOH	2.8759798870535167e-05
APOL1	2.625077835211504e-06
APOL2	3.629973091596082e-05
APOL3	2.796483444369478e-05
APOL4	3.157056866366519e-07
APOL5	0.0
APOL6	5.362986447266715e-06
APOM	1.124699829513336e-06
APOO	0.0
APOOL	0.0
APP	0.012307188482270748
APPBP2	0.002651481048953769
APPL1	0.0005232438406700741
APPL2	6.690648817066962e-05
APRT	7.609750071643629e-07
APTX	0.0001260680474227772
AQP1	0.0013381853210356536
AQP10	3.0206219004410786e-06
AQP11	0.0
AQP12B	7.4382425907473e-08
AQP2	0.0001622934273566211
AQP3	4.6420263403882256e-05
AQP4	7.67467677187011e-06
AQP5	1.976280682108925e-05
AQP6	0.0023952403751112293
AQP7	5.599252027438375e-05
AQP8	1.4030520987065016e-07
AQP9	1.5311419952623172e-05
AQR	5.7916976101504894e-05
AR	0.004048160549316179
ARAF	0.00034560703758915775
ARAP1	1.781482535323288e-05
ARAP2	1.8923433382319025e-06
ARAP3	2.206785473027306e-06
ARC	2.1789144690729414e-05
ARCN1	0.00010548553396517764
ARD1A	4.327294852347974e-05
